timestamp,o,d
2023-01-03 1:34:07,Edward Miller,2026
2023-01-03 1:36:39,Andrew Mason,4033
2023-01-03 1:53:42,Jackie Wright,1757
2023-01-03 2:05:24,Mitzie Chaffin,1746
2023-01-03 2:58:19,Kelly Newhouse,4651
2023-01-03 3:05:14,Samuel Kelly,4334
2023-01-03 3:06:44,Norman Glick,2152
2023-01-03 3:17:29,James Juarez,1941
2023-01-03 3:28:10,Linda Evans,3223
2023-01-03 4:01:23,Susan Lucero,3215
2023-01-03 4:03:08,Brandi Robinson,3251
2023-01-03 4:04:12,Theresa Harris,366
2023-01-03 4:16:46,Jeri Wilkins,439
2023-01-03 4:27:40,Jessica Jauch,991
2023-01-03 4:32:48,Diane Nagy,797
2023-01-03 4:37:38,Lee Richardson,2684
2023-01-03 4:39:05,Rosalyn Owen,3767
2023-01-03 4:47:28,Martha Defazio,3183
2023-01-03 5:00:38,Joseph Evans,1869
2023-01-03 5:20:36,Mike Hoopes,4070
2023-01-03 5:29:07,Paul Mcdougal,1877
2023-01-03 5:35:40,Florence Mccoard,2555
2023-01-03 5:37:36,Kenneth Warner,3249
2023-01-03 5:40:42,Dustin Gonzales,2851
2023-01-03 5:50:04,Michael Siebold,4670
2023-01-03 6:12:05,Daniel Washing,3901
2023-01-03 6:16:45,Richard Johnson,1538
2023-01-03 6:27:59,Anita Binkley,1844
2023-01-03 6:37:33,Catherine Sheridan,2584
2023-01-03 7:02:29,Cynthia Nguyen,519
2023-01-03 7:20:35,Thomas Middleton,191
2023-01-03 7:21:24,Richard Loureiro,4320
2023-01-03 7:29:53,Charles Forbes,1456
2023-01-03 8:16:17,Stephen Wright,3031
2023-01-03 8:20:13,David Cruz,4277
2023-01-03 8:24:39,Lionel Cobham,4635
2023-01-03 8:25:44,Charles Doss,2880
2023-01-03 8:27:15,Suzanne Cody,1516
2023-01-03 8:37:30,Charlie Baker,693
2023-01-03 8:47:01,Mary Paulin,1593
2023-01-03 9:01:34,Allen Heywood,1655
2023-01-03 9:35:20,Elizabeth Nesslein,4671
2023-01-03 9:42:20,Joanne Coates,3028
2023-01-03 10:03:07,Leonard Williams,4544
2023-01-03 10:16:23,Scott Reeves,3077
2023-01-03 10:33:04,Charles Lindsey,2608
2023-01-03 10:36:39,Lana Ford,4174
2023-01-03 10:38:06,Nicole Russell,4986
2023-01-03 10:40:06,Raymond Hyun,97
2023-01-03 10:53:37,Frank Tade,2705
2023-01-03 10:54:50,Jeffery Martin,3480
2023-01-03 10:58:53,Yvette Vanakin,3693
2023-01-03 10:59:51,Melissa Simpson,423
2023-01-03 11:44:43,Adrienne Declue,3930
2023-01-03 11:54:24,Judith Starkes,2347
2023-01-03 11:57:03,John Dunford,4426
2023-01-03 12:13:06,Jake Neill,3565
2023-01-03 12:23:22,Dora Perez,2319
2023-01-03 12:37:17,Johnny Krause,237
2023-01-03 12:48:50,Sharon Caudill,4901
2023-01-03 12:53:46,Drew Wiener,2746
2023-01-03 13:03:20,James Slaughter,1251
2023-01-03 13:04:37,Cathy Langton,1895
2023-01-03 13:08:59,Pat Fish,3123
2023-01-03 13:09:09,Dawn Bennett,670
2023-01-03 13:19:43,Florence Kosky,1093
2023-01-03 13:31:32,Janet Gilliland,2714
2023-01-03 13:39:46,Gwendolyn Lang,207
2023-01-03 13:44:17,Anabel Holmes,1185
2023-01-03 13:53:25,Jason Laverriere,2478
2023-01-03 13:56:34,Eunice Pierce,2742
2023-01-03 14:00:28,Diane Mccormack,3451
2023-01-03 14:01:56,Pamela Letourneau,183
2023-01-03 14:06:54,Lillie Hammock,4861
2023-01-03 14:07:07,Ann Naughton,2860
2023-01-03 14:22:02,Bonnie Ackerman,4173
2023-01-03 14:26:31,William Hayden,1173
2023-01-03 14:32:44,Sean Willard,71
2023-01-03 14:44:10,Cynthia Watson,3337
2023-01-03 15:23:23,Derek Peterson,1363
2023-01-03 15:33:30,Michael Ellender,2024
2023-01-03 15:37:32,Pauline Kanemoto,4072
2023-01-03 15:41:48,Jackie Oliver,4312
2023-01-03 15:46:40,Mayra Collazo,4790
2023-01-03 15:54:28,Arthur Singleton,3484
2023-01-03 16:05:19,Cindy Aldana,3532
2023-01-03 16:25:33,Jeffrey Mullins,273
2023-01-03 16:26:53,Thomas Barlow,4389
2023-01-03 16:30:30,Frank Flynn,2464
2023-01-03 16:41:02,Ezequiel Fanning,3385
2023-01-03 17:11:13,Myrna Horn,3102
2023-01-03 17:27:49,Doris Cook,2836
2023-01-03 17:41:26,Jean Brown,4324
2023-01-03 17:42:04,Teresa Lorenzen,784
2023-01-03 17:55:52,Marvin Cruz,3161
2023-01-03 17:58:58,Gwendolyn Bangs,1059
2023-01-03 18:13:47,Mabel Goodman,2572
2023-01-03 18:32:58,Sylvia Rosenbeck,4399
2023-01-03 18:40:46,Lavonne Edmond,353
2023-01-03 18:58:44,Gloria Morris,3539
2023-01-03 19:02:51,Jan Maldonado,4451
2023-01-03 19:42:04,James Taylor,1132
2023-01-03 19:44:25,Zachary Pinto,2876
2023-01-03 19:45:48,Jackie Russell,273
2023-01-03 19:47:13,Katherine Cardi,4864
2023-01-03 19:58:43,Brad Meyerson,4517
2023-01-03 20:12:23,Antoine Snell,3691
2023-01-03 20:15:08,Peggy Hesse,2505
2023-01-03 20:21:27,Jennifer Mazzone,2821
2023-01-03 20:50:29,John Tillman,959
2023-01-03 20:50:40,Kevin Anaya,3532
2023-01-03 20:50:58,James Lombardo,2974
2023-01-03 20:53:12,Harry Kwan,980
2023-01-03 20:54:26,Chad Darrah,650
2023-01-03 21:06:18,Barbara Labelle,2709
2023-01-03 21:13:41,Williams Bettis,4977
2023-01-03 21:19:45,Eddie Robinson,3250
2023-01-03 21:42:47,Robert Sharp,801
2023-01-03 21:42:52,James Nash,3704
2023-01-03 21:45:25,Stephen Vankeuren,535
2023-01-03 21:52:30,Sara Purnell,3853
2023-01-03 22:00:56,Damon Thompson,402
2023-01-03 22:04:43,Jennifer Whalen,3191
2023-01-03 22:15:18,James Rogers,3888
2023-01-03 22:23:28,Angela Mcclenon,4698
2023-01-03 22:27:47,Concepcion Hong,868
2023-01-03 23:05:25,Megan Miller,2681
2023-01-03 23:20:28,Esther Matthews,4868
2023-01-03 23:21:58,Dorothy Bryant,4489
2023-01-03 23:23:36,Peter Gonzalez,1836
2023-01-03 23:31:05,Ronald Mata,2018
2023-01-03 23:36:37,Robert Mitchell,4558
2023-01-03 23:44:12,Dixie Hostetler,4312
2023-01-03 23:54:33,Inez Sharp,4074
2023-01-03 23:56:34,Charlene Whitfield,2338
2023-01-03 23:58:00,Jason Thompson,963
2023-01-04 0:01:25,Helen Sayavong,3471
2023-01-04 0:24:28,Imogene Samuel,2267
2023-01-04 0:27:10,Maria Cate,3095
2023-01-04 0:30:53,Christa Peterson,3014
2023-01-04 0:35:54,Lillian Dettinger,993
2023-01-04 0:37:59,Troy Vonstein,2623
2023-01-04 0:49:41,Terence Logiudice,3388
2023-01-04 0:54:07,Rufus Purdy,1023
2023-01-04 0:54:33,Betty Poston,616
2023-01-04 1:10:51,Dominic Anderegg,1983
2023-01-04 1:11:48,Thomas Dieguez,704
2023-01-04 1:19:37,Fred Beek,554
2023-01-04 1:50:23,Ronald Newcombe,2689
2023-01-04 1:56:50,Zachary Baggett,2249
2023-01-04 2:08:19,Richard Nadeau,3394
2023-01-04 2:18:33,Corine Cowdery,4597
2023-01-04 2:20:29,Molly Hamilton,3746
2023-01-04 2:25:29,John Reagan,4743
2023-01-04 2:37:32,Joseph Kees,4665
2023-01-04 3:06:06,Leena Case,3291
2023-01-04 3:16:44,Patricia Brantley,3008
2023-01-04 3:24:05,Frank Boulware,2865
2023-01-04 3:24:17,Bryan Lennon,2951
2023-01-04 3:34:18,Greg Petitjean,4058
2023-01-04 3:37:11,Carrie Stahl,4488
2023-01-04 3:39:18,Edward Decicco,2119
2023-01-04 3:49:32,Joshua Carney,3605
2023-01-04 3:55:07,Etta Marshall,3452
2023-01-04 4:11:34,Jason Williams,813
2023-01-04 4:53:23,John Martin,500
2023-01-04 5:06:40,Elton Dunn,1081
2023-01-04 5:06:52,Robert Benjamin,3024
2023-01-04 5:08:01,Deangelo Bruce,4985
2023-01-04 5:23:48,Shane Lumpkin,1369
2023-01-04 5:29:01,Annie Smith,2063
2023-01-04 5:40:45,Natasha Norwood,4449
2023-01-04 5:56:12,Steven Dean,4005
2023-01-04 5:59:08,Georgia Boyle,1357
2023-01-04 6:05:58,Arthur Lawson,1183
2023-01-04 6:08:12,Paul Mcglaughlin,2450
2023-01-04 6:38:50,Rhonda Stiles,3787
2023-01-04 6:38:52,Johnnie Knight,529
2023-01-04 6:46:16,Jannette Turner,387
2023-01-04 7:13:53,Jennifer Yates,3197
2023-01-04 7:21:24,Rodolfo Chou,3210
2023-01-04 7:27:51,Richard Kelley,4200
2023-01-04 7:29:26,Harold Bolin,3987
2023-01-04 7:52:45,Irene Robinson,2311
2023-01-04 7:59:53,Richard Gary,3596
2023-01-04 8:26:12,Rusty Keiser,4006
2023-01-04 8:30:52,Albert Lefebvre,495
2023-01-04 8:33:24,Anna Sandidge,1218
2023-01-04 9:00:14,Lauren Dotson,3946
2023-01-04 9:09:36,Debra Tiner,134
2023-01-04 9:15:45,Judie Everette,695
2023-01-04 9:24:23,Jay Turner,4052
2023-01-04 9:33:21,Richard Lopez,1263
2023-01-04 9:36:05,Jon Russell,572
2023-01-04 9:44:27,Shawn Sorensen,216
2023-01-04 9:45:44,John Welch,595
2023-01-04 9:49:08,Barbara Diaz,4292
2023-01-04 10:24:25,James Martin,3840
2023-01-04 10:36:38,Karen Brown,4879
2023-01-04 10:43:51,Eddie Castellano,2889
2023-01-04 10:47:47,Linda Howe,1867
2023-01-04 10:51:39,Shelia Martin,2203
2023-01-04 11:10:14,Daniel Adams,2707
2023-01-04 11:19:08,Joan Romero,1881
2023-01-04 11:42:19,James Hines,4517
2023-01-04 11:46:49,Tracy Deshaw,678
2023-01-04 11:49:56,Lisa Carr,1654
2023-01-04 11:53:43,Margie Kiehl,2843
2023-01-04 12:04:52,Theresa Dawson,865
2023-01-04 12:20:41,Yvonne Seipp,2409
2023-01-04 12:32:32,Lee Jacobson,2664
2023-01-04 13:29:08,Sharon Caudill,524
2023-01-04 13:37:51,Sydney Reese,959
2023-01-04 13:40:46,Nina Ramirez,4334
2023-01-04 13:51:17,James Calabrese,1948
2023-01-04 13:58:42,Matthew Burns,381
2023-01-04 14:05:14,Jason Curtis,4018
2023-01-04 14:09:44,Stacey Gibson,2239
2023-01-04 14:12:54,Marcus Ozuna,3941
2023-01-04 14:16:16,Todd Jensen,3420
2023-01-04 14:21:41,Mark Moore,4330
2023-01-04 14:25:59,Sylvia Adams,4174
2023-01-04 14:32:53,Ronnie Ley,2269
2023-01-04 14:33:30,Kyle Yim,2976
2023-01-04 14:42:35,Jacob Gillette,1217
2023-01-04 14:45:33,Edward Heintz,4967
2023-01-04 14:46:07,Maxine Langley,3441
2023-01-04 14:54:39,Adan Navor,574
2023-01-04 15:01:21,Jamie Padilla,2534
2023-01-04 15:20:49,Patricia Wolfe,951
2023-01-04 15:27:54,Rebeca Falkowski,2060
2023-01-04 16:03:50,Alan Kirk,927
2023-01-04 16:05:14,Sidney Timmons,3190
2023-01-04 16:28:06,Alexander Davis,4484
2023-01-04 16:38:38,Robert Spickard,44
2023-01-04 16:43:04,Michael Carpenter,3273
2023-01-04 16:57:28,Janice Ronca,1511
2023-01-04 17:00:39,Marie Mason,2546
2023-01-04 17:01:51,Jeffrey Short,2492
2023-01-04 17:10:55,Logan Rivas,1881
2023-01-04 18:00:16,Eric Deems,1226
2023-01-04 18:13:27,Ryan Knowles,555
2023-01-04 18:28:51,Chelsea Henson,4619
2023-01-04 18:34:15,Jae Walton,1979
2023-01-04 18:40:58,Marilyn Westmoreland,1022
2023-01-04 18:44:19,Luis Daniel,3141
2023-01-04 18:59:09,Kasey Harris,3456
2023-01-04 19:00:27,Edward Heintz,3678
2023-01-04 19:04:25,Thomas Panter,555
2023-01-04 19:06:41,George Moore,2428
2023-01-04 19:28:05,Franklin Bryant,1396
2023-01-04 19:46:39,Richard Gibson,845
2023-01-04 19:47:04,Samuel Joecks,4015
2023-01-04 20:14:28,Mable Richardson,1900
2023-01-04 20:27:44,William Stevenson,1727
2023-01-04 20:39:50,James Roberts,24
2023-01-04 20:56:36,Don Johnson,1914
2023-01-04 21:04:27,Brenda Robinson,2754
2023-01-04 21:14:48,John Hansbrough,4552
2023-01-04 22:01:07,Ana Hughes,4769
2023-01-04 22:06:29,Nancy Kave,2522
2023-01-04 22:24:12,Kristina Williams,1380
2023-01-04 22:25:15,Sherry Scott,1180
2023-01-04 22:52:36,Christopher Nieto,4118
2023-01-04 22:55:38,Natalie Dubose,3956
2023-01-04 23:00:58,Toby Wolf,2709
2023-01-04 23:08:09,Marie Freeman,657
2023-01-04 23:19:29,Dennis Brooks,3204
2023-01-04 23:46:31,Randy Whitney,660
2023-01-04 23:47:59,Karen Ransler,1342
2023-01-04 23:48:28,Glen Rehl,3712
2023-01-04 23:52:55,Marjorie Rodriguez,3774
2023-01-04 23:58:53,Amy Bacon,4487
2023-01-05 0:09:18,Nicholas Price,1724
2023-01-05 0:19:21,Wayne Jones,1481
2023-01-05 1:01:11,Ashley Alvarez,4573
2023-01-05 1:02:11,Heather Weeks,1588
2023-01-05 1:04:32,Ronald Masterson,3737
2023-01-05 1:41:41,William Webb,1665
2023-01-05 1:46:49,Daniella Mauney,2383
2023-01-05 1:49:23,Cesar Allen,4228
2023-01-05 2:02:39,Micheal Byers,515
2023-01-05 2:19:20,Eleonor Bunting,1092
2023-01-05 2:36:58,Kenneth Durant,2131
2023-01-05 2:40:16,Linda Hamilton,4110
2023-01-05 2:41:15,Ethel Rivera,3253
2023-01-05 2:47:36,Elizabeth Harris,2333
2023-01-05 2:55:39,Ronald Jones,4707
2023-01-05 2:59:08,Tom Ciprian,2138
2023-01-05 3:21:46,Kathy Blanding,4312
2023-01-05 3:44:32,Eric Stavis,4111
2023-01-05 4:15:39,Robert Kendell,4252
2023-01-05 4:17:02,Boyd Wirtz,4012
2023-01-05 4:29:35,Ann Doyle,3091
2023-01-05 4:36:38,John Witcher,3366
2023-01-05 4:41:27,Kenneth Styer,8
2023-01-05 4:43:41,Anna Sandidge,409
2023-01-05 4:44:27,Elmer Cardinale,4561
2023-01-05 5:08:50,Ammie Christy,4761
2023-01-05 5:47:29,Marvin Ramey,2286
2023-01-05 5:53:13,Fay Miller,2275
2023-01-05 5:53:16,Nina Scott,1614
2023-01-05 5:59:02,Jack Cisneros,4783
2023-01-05 6:05:16,Dorothy Moates,2011
